Genera,O2Req,OralorRespiratoryPath
Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Aerococcus,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Dolosigranulum,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella,Facultative anaerobe,Oral
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus,Facultative anaerobe,Pathogenic
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillales_uncl.Lactobacillales_uncl,NA,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Leuconostoc,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcaceae_uncl,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,Facultative anaerobe,Oral
Bacteria.Firmicutes.Bacilli.Mycoplasmatales.Mycoplasmataceae.Mycoplasma,Variable,
Bacteria.Firmicutes.Bacilli.Mycoplasmatales.Mycoplasmataceae.Ureaplasma,Facultative anaerobe,
Bacteria.Firmicutes.Bacilli.Paenibacillales.Paenibacillaceae.Paenibacillus,Variable,
Bacteria.Firmicutes.Bacilli.Staphylococcales.Gemellaceae.Gemella,Facultative anaerobe,Oral
Bacteria.Firmicutes.Bacilli.Staphylococcales.Staphylococcaceae.Staphylococcus,Facultative anaerobe,Pathogenic
Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae_R_7_grp,Anaerobe,
Bacteria.Firmicutes.Clostridia.Clostridia_UCG_014.Clostridia_UCG_014_fa.Clostridia_UCG_014_ge,Anaerobe,
Bacteria.Firmicutes.Clostridia.Clostridia_vadinBB60_grp.Clostridia_vadinBB60_grp_fa.Clostridia_vadinBB60_grp_ge,Anaerobe,
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_1,Anaerobe,
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Sarcina,Anaerobe,
Bacteria.Firmicutes.Clostridia.Eubacteriales.Eubacteriaceae.Pseudoramibacter,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Blautia,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Catonella,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Dorea,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Fusicatenibacter,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Howardella,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Johnsonella,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnoanaerobaculum,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnoclostridium,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae_ge,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae_uncl,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Oribacterium,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Shuttleworthia,Anaerobe,
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Stomatobaculum,Anaerobe,
Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospirales_fa.Oscillospirales_ge,Anaerobe,
Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium,Anaerobe,
Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcaceae_IncSed,Anaerobe,
Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcus,Anaerobe,
Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptococcales.Peptococcaceae.Peptococcus,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Anaerovoracaceae.Anaerovoracaceae_ge,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Anaerovoracaceae.Mogibacterium,Anaerobe,
Bacteria.Firmicutes.Clostridia.Peptostreptococcales_Tissierellales.Anaerovoracaceae.Anaerovoracaceae_Uncltrd,Anaerobe,
